sample_id,reference,hypothesis,reference_norm,hypothesis_norm,wer,category
fleurs-1788,abş gimnastika qrumu birləşmiş ştatların olimpiya komitəsinin məktubunu dəstəkləyir və bütün idmançılarımız üçün təhlükəsiz bir atmosfer yaratmaq məqsədilə olimpiya ailəsinin ehtiyaclarını tamamilə qarşılayacağını təsdiqləyir, ABŞ Gimnastika Qurumu Birləşmiş Ştadlarının Olympiya Komitesinin məktubunu dəstəkləyir və bütün idmançılarımız üçün təhlükəsiz bir atmosfer yaratmaq məqsədi ilə Olympiya ailəsinin ehtiyaclarını tamamı ilə qarşılayacağını təstəkləyir.,abş gimnastika qrumu birləşmiş ştatların olimpiya komitəsinin məktubunu dəstəkləyir və bütün idmançılarımız üçün təhlükəsiz bir atmosfer yaratmaq məqsədilə olimpiya ailəsinin ehtiyaclarını tamamilə qarşılayacağını təsdiqləyir, abş gimnastika qurumu birləşmiş ştadlarının olympiya komitesinin məktubunu dəstəkləyir və bütün idmançılarımız üçün təhlükəsiz bir atmosfer yaratmaq məqsədi ilə olympiya ailəsinin ehtiyaclarını tamamı ilə qarşılayacağını təstəkləyir ,0.4167,
fleurs-1947,əsgərlər gəlməzdən əvvəl haiti 1880-ci illərdən bəri xəstəlik problemlərinə məruz qalmamışdı," Askərlər gəlməzdən əvvəl, Haiti-Misa 280-ci illərdən bəri xəstəlik problemlərinə məruz qalmamışdı.",əsgərlər gəlməzdən əvvəl haiti 1880 ci illərdən bəri xəstəlik problemlərinə məruz qalmamışdı, askərlər gəlməzdən əvvəl haiti misa 280 ci illərdən bəri xəstəlik problemlərinə məruz qalmamışdı ,0.25,
fleurs-1728,kimyəvi maddənin turşuluq və ya qələvi tərkibinə görə kələm suyu rəngini dəyişir, Kimyavı maddənin turşuluk və ya qələbi tərkibinə görə kelem suyu rəngini dəyişir.,kimyəvi maddənin turşuluq və ya qələvi tərkibinə görə kələm suyu rəngini dəyişir, kimyavı maddənin turşuluk və ya qələbi tərkibinə görə kelem suyu rəngini dəyişir ,0.3333,
fleurs-1782,həmçinin çarlıqların arasında parçalanmış əyalətlər fərqli dövrlərə malik idilər bunlardan ən yaxşı bilinəni han və çzin çarlıqları arasında çəkişmələrlə 60 il davam etmiş üç çarlıq dövrü idi, Həmçinin çarlıqların arasında başlanmış hələtlər fərqli dövləri malik edilər. Bunlardan ən yaxşı bilinən ixaməcci çarlıqları arasında çəkişmələrlərlə 60 il davam etmiş 3 çarlıq dövlə idi.,həmçinin çarlıqların arasında parçalanmış əyalətlər fərqli dövrlərə malik idilər bunlardan ən yaxşı bilinəni han və çzin çarlıqları arasında çəkişmələrlə 60 il davam etmiş üç çarlıq dövrü idi, həmçinin çarlıqların arasında başlanmış hələtlər fərqli dövləri malik edilər bunlardan ən yaxşı bilinən ixaməcci çarlıqları arasında çəkişmələrlərlə 60 il davam etmiş 3 çarlıq dövlə idi ,0.4074,
fleurs-1746,bitkilər günəş vasitəsilə fotosintezə uğrayaraq yetişirlər onlar həm də kölgə salırlar, Bitkilər güneş vasitəsilə fotosintizi uğurlayaraq yetişirlər. Onları həm də köyə salırlar.,bitkilər günəş vasitəsilə fotosintezə uğrayaraq yetişirlər onlar həm də kölgə salırlar, bitkilər güneş vasitəsilə fotosintizi uğurlayaraq yetişirlər onları həm də köyə salırlar ,0.4545,
fleurs-1765,paraqvay asunsyonun 1537-ci ildə qurulmasından sonra öz milli xüsusiyyətləri və mənsubiyyətini qoruyub saxlaya bildi, Paraguay Asuncionun 1537-ci ildə qurulmasından sonra öz milli xüsusiyyətləri və mənsubiyyətini quruyuq saxlayabildi.,paraqvay asunsyonun 1537 ci ildə qurulmasından sonra öz milli xüsusiyyətləri və mənsubiyyətini qoruyub saxlaya bildi, paraguay asuncionun 1537 ci ildə qurulmasından sonra öz milli xüsusiyyətləri və mənsubiyyətini quruyuq saxlayabildi ,0.3333,
fleurs-1956,çoxlu sayda insanın və malların okeanlar arasında daşınması üçün ən səmərəli yol yük gəmilərindən istifadə etmək idi, Çoxlu sayıda insanı və malların okeyanlar arasında daşınması üçün ən səmərəli yol yüq gəmlərini istifadə etmək idi.,çoxlu sayda insanın və malların okeanlar arasında daşınması üçün ən səmərəli yol yük gəmilərindən istifadə etmək idi, çoxlu sayıda insanı və malların okeyanlar arasında daşınması üçün ən səmərəli yol yüq gəmlərini istifadə etmək idi ,0.2941,
fleurs-1999,1960-cı illərdə bjezinksi con f kennedinin məsləhətçisi kimi daha sonra isə lindon b conson adminstrasiyasında fəaliyyət göstərdi," 1960-cı illərdə, Bridgeski John F. Kennedy-nin məsələtisi kimi daha sonra isə Lyndon B. Jones-un administrasiyasında fəaliyyət göstərdi.",1960 cı illərdə bjezinksi con f kennedinin məsləhətçisi kimi daha sonra isə lindon b conson adminstrasiyasında fəaliyyət göstərdi, 1960 cı illərdə bridgeski john f kennedy nin məsələtisi kimi daha sonra isə lyndon b jones un administrasiyasında fəaliyyət göstərdi ,0.5,
fleurs-1769,misirlilər tərəfindən eramızdan əvvəl 3-cü əsrdə inşa edilmiş böyük ehram vəfat etmiş fironun xatirəsini əbədiləşdirmək üçün tikilən bir çox böyük piramidalardan biridir," Misirlər tərəfindən, Eramızdan əvvəl üçüncü əsrdə inşa edilmiş böyük ev Ram, vəfat etmiş Füronun xəritərsinin əvədilləyi açdırılması üçün tikilən bir çox böyük piramidalardan biridir.",misirlilər tərəfindən eramızdan əvvəl 3 cü əsrdə inşa edilmiş böyük ehram vəfat etmiş fironun xatirəsini əbədiləşdirmək üçün tikilən bir çox böyük piramidalardan biridir, misirlər tərəfindən eramızdan əvvəl üçüncü əsrdə inşa edilmiş böyük ev ram vəfat etmiş füronun xəritərsinin əvədilləyi açdırılması üçün tikilən bir çox böyük piramidalardan biridir ,0.3913,
fleurs-1761,sonradan tualetə ehtiyacı olan yaşlı qadının yerini fotoqraflar tutmuşdu mendoza silahla vurularaq zərərsizləşdirildi, Soradan tuhaletə ehtiyacı olan yaşlı qadının yerini fotograflar tutmuşdu. Mendoza silahla vurularaq sərərsizləşdirildi.,sonradan tualetə ehtiyacı olan yaşlı qadının yerini fotoqraflar tutmuşdu mendoza silahla vurularaq zərərsizləşdirildi, soradan tuhaletə ehtiyacı olan yaşlı qadının yerini fotograflar tutmuşdu mendoza silahla vurularaq sərərsizləşdirildi ,0.3077,
fleurs-1875,planetimizin çaylarından okeanlara qarışan suyun 20 faizi amazona aiddir, Planetimizin çaylarından o kyanlara qarışan suyun 20% Amazon'a ayətdir.,planetimizin çaylarından okeanlara qarışan suyun 20 faizi amazona aiddir, planetimizin çaylarından o kyanlara qarışan suyun 20 amazon a ayətdir ,0.5556,
fleurs-1844,ayın səthi qayalardan və tozdan ibarətdir və onun xarici qatına qabıq deyilir, Ayın sətfiq qayalardan və tozan ibarətdir və onun xarici qatına qabıq deyilir.,ayın səthi qayalardan və tozdan ibarətdir və onun xarici qatına qabıq deyilir, ayın sətfiq qayalardan və tozan ibarətdir və onun xarici qatına qabıq deyilir ,0.1667,
fleurs-1942,evimizi inşa etmək və paltarlarımızı tikmək üçün bitkilərdən istifadə edirik yediyimiz əksər qidaları bitkilər təşkil edir heyvanlar bitkilərsiz yaşaya bilməzdi, Evimizi inşa etmək və baltallarımızı tikmək üçün bitkilərdən istifadə edirik. Yediğimiz əkər qıda olaralı bitkilər təşkil edir. Heyvanlar bitkilərsiz yaşaya bilməzdi.,evimizi inşa etmək və paltarlarımızı tikmək üçün bitkilərdən istifadə edirik yediyimiz əksər qidaları bitkilər təşkil edir heyvanlar bitkilərsiz yaşaya bilməzdi, evimizi inşa etmək və baltallarımızı tikmək üçün bitkilərdən istifadə edirik yediğimiz əkər qıda olaralı bitkilər təşkil edir heyvanlar bitkilərsiz yaşaya bilməzdi ,0.25,
fleurs-1760,mosasaurus öz vaxtının ən zirvədə olan vəhşisi olduğuna görə sadəcə öz qohumları olan mosasaurslar xaricində digər canlılardan qorxmurdu," Mosasaurus öz vaxtının ən zirvəd olan vəşis olduğu nə görə, sadəcə öz qohumları olan mosasauruslar xaricində digər canlılardan qorxmurdu.",mosasaurus öz vaxtının ən zirvədə olan vəhşisi olduğuna görə sadəcə öz qohumları olan mosasaurslar xaricində digər canlılardan qorxmurdu, mosasaurus öz vaxtının ən zirvəd olan vəşis olduğu nə görə sadəcə öz qohumları olan mosasauruslar xaricində digər canlılardan qorxmurdu ,0.2778,
fleurs-1883,körpünün altındakı şaquli boşluğun ölçüsü 15 metrdir. i̇nşaat 2011-ci ilin avqust ayında tamamlansa da o 2017-ci ilin mart ayına qədər yol hərəkətinə açılmadı," Görpünün altındakı Şaguli boşluğunun ölçüsü 15 metrdir. İnşaat kiminon 11-ci ilin avqust ayında tamamlasa da, o kiminon 7-ci ilin mart ayına qədər yol hərəkətinə açılmadı.",körpünün altındakı şaquli boşluğun ölçüsü 15 metrdir i nşaat 2011 ci ilin avqust ayında tamamlansa da o 2017 ci ilin mart ayına qədər yol hərəkətinə açılmadı, görpünün altındakı şaguli boşluğunun ölçüsü 15 metrdir i nşaat kiminon 11 ci ilin avqust ayında tamamlasa da o kiminon 7 ci ilin mart ayına qədər yol hərəkətinə açılmadı ,0.3077,
fleurs-1749,vichy adlanan fransızlar tərəfindən idarə olunurdu 1940-cı ildə almanlarla sülh müqaviləsi imzalayan bu fransız xalqı işğalçılara qarşı döyüşmək əvəzinə əməkdaşlıq etdi, Vichy adlanan Fransızlar tələfindən idarə olunurdu. 1940-cü ildə Almanlarla söhmü qabiliyəsi imzalayan bu Fransız xalqı işxalçılara qarşı dövüşməyi vəznəməkdaşlıq etdi.,vichy adlanan fransızlar tərəfindən idarə olunurdu 1940 cı ildə almanlarla sülh müqaviləsi imzalayan bu fransız xalqı işğalçılara qarşı döyüşmək əvəzinə əməkdaşlıq etdi, vichy adlanan fransızlar tələfindən idarə olunurdu 1940 cü ildə almanlarla söhmü qabiliyəsi imzalayan bu fransız xalqı işxalçılara qarşı dövüşməyi vəznəməkdaşlıq etdi ,0.3636,
fleurs-1831,plitvice gölləri milli parkı əsasən fıstıq küknar və şam ağacları meşəlikləri eləcə də alp və aralıq dənizi faunasından ibarətdir," Blitvice görləri Milli Parkı əsasən fıstıq, küknar və şam ağacları məşəlikləri eləcə də alp və aralıq dənəzə faunasından ibarətdir.",plitvice gölləri milli parkı əsasən fıstıq küknar və şam ağacları meşəlikləri eləcə də alp və aralıq dənizi faunasından ibarətdir, blitvice görləri milli parkı əsasən fıstıq küknar və şam ağacları məşəlikləri eləcə də alp və aralıq dənəzə faunasından ibarətdir ,0.2105,
fleurs-1792,bunlara kimyəvi maddə ph deyilir qara kələm şirəsindən istifadə edərək bir indikator düzəltmək olar, Bunlara kimyami maddə pH deyilir. Qara kelem şirəsində istifadə edərək bir indikator düzətmək olar.,bunlara kimyəvi maddə ph deyilir qara kələm şirəsindən istifadə edərək bir indikator düzəltmək olar, bunlara kimyami maddə ph deyilir qara kelem şirəsində istifadə edərək bir indikator düzətmək olar ,0.2857,
fleurs-1796,bu çöküntü qumsallıqların və çimərliklərin yaradılması üçün əhəmiyyətli idi çünki bura vəhşi təbiət sakinlərinin yurdu olmalıydı, Bu çöküntü qumsallıqların və çimərdiklərin yaradılması üçün əhəmətlidir. Çüku-Bura vəhşi təbiət sakinlərinin yurdu olmalıdır.,bu çöküntü qumsallıqların və çimərliklərin yaradılması üçün əhəmiyyətli idi çünki bura vəhşi təbiət sakinlərinin yurdu olmalıydı, bu çöküntü qumsallıqların və çimərdiklərin yaradılması üçün əhəmətlidir çüku bura vəhşi təbiət sakinlərinin yurdu olmalıdır ,0.3125,
fleurs-1739,dünyanın qalan hissəsindən tamamilə təcrid olunmuş bu mağara məkkənin şimalındakı dağlardan birinin zirvəsində yerləşir, Dünyanın qalan hissəsindən tamamilə təcid olunmuş bu mağaram Məkkənin şımalın dağlardan birinin zirvesində yerləşir.,dünyanın qalan hissəsindən tamamilə təcrid olunmuş bu mağara məkkənin şimalındakı dağlardan birinin zirvəsində yerləşir, dünyanın qalan hissəsindən tamamilə təcid olunmuş bu mağaram məkkənin şımalın dağlardan birinin zirvesində yerləşir ,0.2857,
fleurs-1785,müvəqqəti qurğu tədris bir metodundan daha çox yeni kompüter proqramında istifadə yaxud da yeni bir layihəyə başlamaq kimi yeni öyrənmə metodlarından istifadə edən tələbələr üçün bir vasitədir, Müvəkkəti qruvu tədris bir metodundan daha çox yeni komputer programında istifadəm yaxud da yeni bir layihəyə başlamak kimi yeni öyrəmə metodlarından istifadə edən tələbələr üçün bir vasitədir.,müvəqqəti qurğu tədris bir metodundan daha çox yeni kompüter proqramında istifadə yaxud da yeni bir layihəyə başlamaq kimi yeni öyrənmə metodlarından istifadə edən tələbələr üçün bir vasitədir, müvəkkəti qruvu tədris bir metodundan daha çox yeni komputer programında istifadəm yaxud da yeni bir layihəyə başlamak kimi yeni öyrəmə metodlarından istifadə edən tələbələr üçün bir vasitədir ,0.2593,
fleurs-1894,köri ət və ya tərəvəzlərlə yanaşı həm də otlardan və ədviyyatlardan hazırlanan bir yemək növüdür," Körü et və ya tərəfəzlərlə yanaşı, həm də otlardan və edviyatlardan hazırlanan bir yemək növüdür.",köri ət və ya tərəvəzlərlə yanaşı həm də otlardan və ədviyyatlardan hazırlanan bir yemək növüdür, körü et və ya tərəfəzlərlə yanaşı həm də otlardan və edviyatlardan hazırlanan bir yemək növüdür ,0.2667,
fleurs-1839,piyada gəzinti yolu ilə xizək yolu bir-birinə çox bənzəyir, Piyada yazıntı yolu ilə xizəh yolu bir-birinə çox bəzir.,piyada gəzinti yolu ilə xizək yolu bir birinə çox bənzəyir, piyada yazıntı yolu ilə xizəh yolu bir birinə çox bəzir ,0.3,
fleurs-1819,qədim çin müxtəlif saat qurşaqlarını özünəməxsus bir formada göstərirdi çinin hər mərhələsi yaxud da iqtidarda olan hər ailə özünəməxsus bir xanədan idi, Qədim Çin müxtəlif saat quşaklarını özünə məxsus bir formada göstərirdi. Çinin hər məhədəsi yaxud iqtidarda olan hər hələ özünə məxsus bir xanədən idi.,qədim çin müxtəlif saat qurşaqlarını özünəməxsus bir formada göstərirdi çinin hər mərhələsi yaxud da iqtidarda olan hər ailə özünəməxsus bir xanədan idi, qədim çin müxtəlif saat quşaklarını özünə məxsus bir formada göstərirdi çinin hər məhədəsi yaxud iqtidarda olan hər hələ özünə məxsus bir xanədən idi ,0.4091,
fleurs-1698,atomlar adlanan kiçik hissəciklərdən ibarət olan maddələr kainatda hər şeyi təşkil edir, atomlar adlanan kişiyi hissəciklərdən ibarat olan maddələr kainatda hər şey təşkil edir.,atomlar adlanan kiçik hissəciklərdən ibarət olan maddələr kainatda hər şeyi təşkil edir, atomlar adlanan kişiyi hissəciklərdən ibarat olan maddələr kainatda hər şey təşkil edir ,0.25,
fleurs-1995,virtual müvəqqəti qurğular proqram təminatında daxililəşdirilib və tələbənin çətinlik çəkə biləcəyi prosedurlarla əlaqəli suallar vermək sürətli cavab almaq və prosedurları izah etmək üçün nəzərdə tutulub," Virtual müvəkkəti qurgular program təminatında daxilləşdirilif və tələbəyin çətinliyi çəkə biləcəyi prosedurlarla əlaqəli suallar vermək, sürətli cavab almaq və prosedurları izah etmək üçün nəzərdə tutulub.",virtual müvəqqəti qurğular proqram təminatında daxililəşdirilib və tələbənin çətinlik çəkə biləcəyi prosedurlarla əlaqəli suallar vermək sürətli cavab almaq və prosedurları izah etmək üçün nəzərdə tutulub, virtual müvəkkəti qurgular program təminatında daxilləşdirilif və tələbəyin çətinliyi çəkə biləcəyi prosedurlarla əlaqəli suallar vermək sürətli cavab almaq və prosedurları izah etmək üçün nəzərdə tutulub ,0.24,
fleurs-1991,güclənmiş və varlanmış katolik kilsəsinin dövlətin nəzarətinə keçməsi avropa tarixinin bu dövründə baş verir, Güzlənmiş və varlanmış katolik kilisəsinin dövlətin nəzərətinə keçməsi Avropa tarixinin bu dövründə baş verir.,güclənmiş və varlanmış katolik kilsəsinin dövlətin nəzarətinə keçməsi avropa tarixinin bu dövründə baş verir, güzlənmiş və varlanmış katolik kilisəsinin dövlətin nəzərətinə keçməsi avropa tarixinin bu dövründə baş verir ,0.2143,
fleurs-1845,onlar bir vaqonda kral və kraliçaya baxıb nifrətlərini hayqıran onları təhdid edən bir qrup insanın arasında parisə geri döndülər," Onlar bir vagonda kral və kraliçəyə baxıb, nifrətlərini haykıran, onların təhdid edən bir qrup insanın arasında parəsə geri döndülər.",onlar bir vaqonda kral və kraliçaya baxıb nifrətlərini hayqıran onları təhdid edən bir qrup insanın arasında parisə geri döndülər, onlar bir vagonda kral və kraliçəyə baxıb nifrətlərini haykıran onların təhdid edən bir qrup insanın arasında parəsə geri döndülər ,0.2632,
fleurs-1713,qoma son dərəcə etibarlı olsa da şimali kivu əyalətində davam edən müharibənin vəziyyətini başa düşmək üçün qoma xaricində digər yerlərə olan ziyarətlər araşdırılmalıdır, Qoma sonunda rəziyyəti bağlı olsa da şimali kivo əyələtində davam edən muharibənin vəziyyətini başa düşmək üçün qoma xarizində digər yerlərə olan ziyaretlər araşdırılmalıdır.,qoma son dərəcə etibarlı olsa da şimali kivu əyalətində davam edən müharibənin vəziyyətini başa düşmək üçün qoma xaricində digər yerlərə olan ziyarətlər araşdırılmalıdır, qoma sonunda rəziyyəti bağlı olsa da şimali kivo əyələtində davam edən muharibənin vəziyyətini başa düşmək üçün qoma xarizində digər yerlərə olan ziyaretlər araşdırılmalıdır ,0.3478,
fleurs-1695,xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş pa amb oli adlanan çörəkdir," Xüsusilə də yağ yayalarında sadə populyar bir aqşam yeməyi zeytun yağlı, pamidorlu və peynir və tombalığı kimi istəndən ərzəqla doldurulmuş Pa Amp Oli adlan onçörəkdir.",xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş pa amb oli adlanan çörəkdir, xüsusilə də yağ yayalarında sadə populyar bir aqşam yeməyi zeytun yağlı pamidorlu və peynir və tombalığı kimi istəndən ərzəqla doldurulmuş pa amp oli adlan onçörəkdir ,0.4615,
fleurs-1960,onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi," 10-20 yaşlarında olduğu bildirilir. Bir-bir açıqlamasında bu faciəvə qəzanın bir başı iştirakçısı olmasamda, düşüncələrim və dualarım hadisə qrubanının ailəsinin yanındadır, dedi.",onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi, 10 20 yaşlarında olduğu bildirilir bir bir açıqlamasında bu faciəvə qəzanın bir başı iştirakçısı olmasamda düşüncələrim və dualarım hadisə qrubanının ailəsinin yanındadır dedi ,0.4091,
fleurs-1892,bura britaniya kolonistlərinin mənimsədikləri yerdir buna görə də əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa buradan başlaya bilərsiniz," Buraq Britani qalanistlərinin mənimsədiklər yeridir. Buna görə də əgər bölgənin müstəmləkə tarixi ilə alaqəli bir dəlin axtarırsınızsa, buradan başlayabilərsiniz.",bura britaniya kolonistlərinin mənimsədikləri yerdir buna görə də əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa buradan başlaya bilərsiniz, buraq britani qalanistlərinin mənimsədiklər yeridir buna görə də əgər bölgənin müstəmləkə tarixi ilə alaqəli bir dəlin axtarırsınızsa buradan başlayabilərsiniz ,0.45,
fleurs-1905,moldovanın paytaxtı kişinyov şəhəridir yerli dil rumın dilidir amma rus dilindən də çox geniş istifadə olunur," Moldovanın paytaxtı Kişinyov şəhəridir. Yerli dil Roman dilidir, əmma Rus dilindən də çox geniş istifadə olunur.",moldovanın paytaxtı kişinyov şəhəridir yerli dil rumın dilidir amma rus dilindən də çox geniş istifadə olunur, moldovanın paytaxtı kişinyov şəhəridir yerli dil roman dilidir əmma rus dilindən də çox geniş istifadə olunur ,0.125,
fleurs-1743,texnoloji determinizmə aid şərhlərin əksəriyyəti texnoloji inkişafın özlüyündə böyük miqyasda mədəni və ya siyasi təsirdən daha geniş bir yolda irəliləməsi və texnologiyanın sosial baxımdan şərtləndrilimiş deyil özünəməxsus ictimaiyyətə təsir göstərməsi kimi iki ümumi fikrə əsaslanır," Teknoloji determinizmə ait şəhlərinə kəriyyəti, texnoloji inkişafın özlüyümdə böyük migyası tə mədəni və ya siyasi təsirdən daha geniş bir yolda irəlləməsi və texnologiyanın sosial baxımından şətləndirilmiş deyil öznə məxsus ictimaiyətə təsiri göstərməsi kimi iki ümumi fikirə əsaslanır.",texnoloji determinizmə aid şərhlərin əksəriyyəti texnoloji inkişafın özlüyündə böyük miqyasda mədəni və ya siyasi təsirdən daha geniş bir yolda irəliləməsi və texnologiyanın sosial baxımdan şərtləndrilimiş deyil özünəməxsus ictimaiyyətə təsir göstərməsi kimi iki ümumi fikrə əsaslanır, teknoloji determinizmə ait şəhlərinə kəriyyəti texnoloji inkişafın özlüyümdə böyük migyası tə mədəni və ya siyasi təsirdən daha geniş bir yolda irəlləməsi və texnologiyanın sosial baxımından şətləndirilmiş deyil öznə məxsus ictimaiyətə təsiri göstərməsi kimi iki ümumi fikirə əsaslanır ,0.4286,
fleurs-1754,ayın yerdən görünən üzündə qabıq daha nazik olduğu üçün orada daha çox ay dənizləri ola bilər bazalt lavaları üçün səthə çıxmaq daha asan idi, Ayaqın yerdən görünən üzündə qabıq daha nazik olduğu üçün orada daha çoxay dənizlər ola bilər. Bazatlı avalar üçün səhə çıxmaq daha asanı idi.,ayın yerdən görünən üzündə qabıq daha nazik olduğu üçün orada daha çox ay dənizləri ola bilər bazalt lavaları üçün səthə çıxmaq daha asan idi, ayaqın yerdən görünən üzündə qabıq daha nazik olduğu üçün orada daha çoxay dənizlər ola bilər bazatlı avalar üçün səhə çıxmaq daha asanı idi ,0.3333,
fleurs-1686,nəticə etibarilə bir maneəni dəf etmək üçün birgə fəaliyyət göstərən təşkilati bir proses müştəri ehtiyacını qarşılayacaq yeni innovasiyalarda aparıcı rol oynaya bilər," Nəticə etibarıyla, bir maniyyəni dəf etmək üçün birgə fəaliyyət göstərin təşkilatı bir proses müştərə ehtiyacını qarşılayacaq yeni inovasiyalardan aparıcı rol oynaya bilər.",nəticə etibarilə bir maneəni dəf etmək üçün birgə fəaliyyət göstərən təşkilati bir proses müştəri ehtiyacını qarşılayacaq yeni innovasiyalarda aparıcı rol oynaya bilər, nəticə etibarıyla bir maniyyəni dəf etmək üçün birgə fəaliyyət göstərin təşkilatı bir proses müştərə ehtiyacını qarşılayacaq yeni inovasiyalardan aparıcı rol oynaya bilər ,0.2727,
fleurs-1678,prezidentin nitqi adlı məqaləsində oliver saks beyin travması səbəbi ilə insanlar çıxışı başa düşməsə də onların natiqin səmimiyyətini düzgün şəkildə dəyərləndirə biləcəklərindən bəhs edir, Prezidentin nitqadlı məqaləsində Oliver Sacks beyin travması səbəbiyilə insanların çıxışı başa düşməsi də onların natiqin səmimiyyətin düzgün şəkildə dəyirləndirə biləcəklərindən bəsidir.,prezidentin nitqi adlı məqaləsində oliver saks beyin travması səbəbi ilə insanlar çıxışı başa düşməsə də onların natiqin səmimiyyətini düzgün şəkildə dəyərləndirə biləcəklərindən bəhs edir, prezidentin nitqadlı məqaləsində oliver sacks beyin travması səbəbiyilə insanların çıxışı başa düşməsi də onların natiqin səmimiyyətin düzgün şəkildə dəyirləndirə biləcəklərindən bəsidir ,0.4583,
fleurs-1948,bu üç krallıq dövrü qədim çin tarixində minlərlə insanın sianda yerləşən möhtəşəm sarayda ən yüksək taxta oturmaq uğrunda mübarizə apararaq dünyasını dəyişdiyi ən qanlı dövrlərdən idi," Bu iqz krallıq dövrü qədimçin tarixində millərlə insanı siyanlı yerləşən mühtəşəm sarayda ən yüksək taxta oturma uğrunda mübarizə pararaq, dünyasını dəyişdiyi ənqanlı dövlərdə ne idi?",bu üç krallıq dövrü qədim çin tarixində minlərlə insanın sianda yerləşən möhtəşəm sarayda ən yüksək taxta oturmaq uğrunda mübarizə apararaq dünyasını dəyişdiyi ən qanlı dövrlərdən idi, bu iqz krallıq dövrü qədimçin tarixində millərlə insanı siyanlı yerləşən mühtəşəm sarayda ən yüksək taxta oturma uğrunda mübarizə pararaq dünyasını dəyişdiyi ənqanlı dövlərdə ne idi ,0.4615,
fleurs-1662,xəltələr əsasən iki və ya daha çox metalın qarışığından yaranır unutmayaq ki kimyəvi elementlərin dövri cədvəlində bir çox elementlər var," Xəltələr əsasən iki və daha çox metalın qarışığından yaranır. Umutmayıq ki, kimyəv eləmətlərin dövri cədvəlində bir çox eləmətlər var.",xəltələr əsasən iki və ya daha çox metalın qarışığından yaranır unutmayaq ki kimyəvi elementlərin dövri cədvəlində bir çox elementlər var, xəltələr əsasən iki və daha çox metalın qarışığından yaranır umutmayıq ki kimyəv eləmətlərin dövri cədvəlində bir çox eləmətlər var ,0.25,
fleurs-1795,1988-ci ildən sonra seçki sandıqları şəffaf olmalıdır ki həm seçicilər həm də müşahidəçilər səsvermə başlayarkən sandığın boş olduğunu sonra isə lazımi qaydada sayılan qanuni seçki bülletenlərindən başqa əlavə heç bir zərfin sandığa atılmadığını görə bilsinlər," 1988-ci ildən sonra seski sandıqların şəxvaf olmalıdır ki, həm səsicilər, həm də müşahidəçilər səs vermə başlayırkən sandığın boş olduğunu, sonra isə lazımı qayda da sayılan qanuni seski politinlərindən başqa əlaq heç bir zəhəfin sandığı atılmadığını görə bilsinlər.",1988 ci ildən sonra seçki sandıqları şəffaf olmalıdır ki həm seçicilər həm də müşahidəçilər səsvermə başlayarkən sandığın boş olduğunu sonra isə lazımi qaydada sayılan qanuni seçki bülletenlərindən başqa əlavə heç bir zərfin sandığa atılmadığını görə bilsinlər, 1988 ci ildən sonra seski sandıqların şəxvaf olmalıdır ki həm səsicilər həm də müşahidəçilər səs vermə başlayırkən sandığın boş olduğunu sonra isə lazımı qayda da sayılan qanuni seski politinlərindən başqa əlaq heç bir zəhəfin sandığı atılmadığını görə bilsinlər ,0.4167,
fleurs-1926,psixologiya da daxil bütün elmi məsələlərdə aristotelin fikirlərindən istifadə olunurdu, Psixologiyada daxili bütün elmin məsələlərdə Aristosia nef fikirlərinin əsitifadə olunurdu.,psixologiya da daxil bütün elmi məsələlərdə aristotelin fikirlərindən istifadə olunurdu, psixologiyada daxili bütün elmin məsələlərdə aristosia nef fikirlərinin əsitifadə olunurdu ,0.8,
fleurs-1926,psixologiya da daxil bütün elmi məsələlərdə aristotelin fikirlərindən istifadə olunurdu, Psixologiyada daxil bütün elm məsələlərdə Aristotelin fikirlərindən istifadə olunurdu.,psixologiya da daxil bütün elmi məsələlərdə aristotelin fikirlərindən istifadə olunurdu, psixologiyada daxil bütün elm məsələlərdə aristotelin fikirlərindən istifadə olunurdu ,0.3,
fleurs-1909,eyni keyfiyyət standartları baxımından virtual komandalar çox incə fərqlər ilə ənənəvi komandalara bərabər tutulur, Eyni keyfiyat standardları baxımından virtual komandaları çox ince fərqləri ilə ənənəvi komandalara bərabər tutulur.,eyni keyfiyyət standartları baxımından virtual komandalar çox incə fərqlər ilə ənənəvi komandalara bərabər tutulur, eyni keyfiyat standardları baxımından virtual komandaları çox ince fərqləri ilə ənənəvi komandalara bərabər tutulur ,0.3571,
